run_id,condition,order,rounds,convergence,experts,tokens,in_tokens,out_tokens,cost_usd,truncated,agent_turns,red_line_declarations,transcript_chars,agreement,position_move,dqi_justif_level,dqi_justif_content,dqi_respect,dqi_constructive,dqi_individuation,kappa_mean,judge_notes,run_folder,eval_cost_usd,eval_calls
mgmt_relational_prior_high_r4,mgmt.relational_prior=8 [rep 4],salience,4,plateauing,2,514283,473738,40545,0.5378,0,30,18,171230,False,0.417,1.979,1.458,1.708,1.979,2.0,0.299,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r4,0.2497,62
mgmt_relational_prior_high_r5,mgmt.relational_prior=8 [rep 5],salience,4,plateauing,2,456141,420856,35285,0.4744,0,29,12,149959,False,0.5,1.938,1.479,1.688,1.938,2.0,0.461,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r5,0.2542,62
mgmt_relational_prior_high_r6,mgmt.relational_prior=8 [rep 6],salience,4,plateauing,2,459717,423337,36380,0.4812,0,30,12,153271,False,0.167,1.979,1.583,1.729,1.958,2.0,0.254,,data\sensitivity_20260723_000046\mgmt_relational_prior_high_r6,0.2319,62
main_recheck_r1,main scenario (batch recheck) [rep 1],salience,4,plateauing,2,459403,424211,35192,0.4765,0,30,9,139594,False,0.25,1.958,1.708,1.729,2.0,2.0,0.458,,data\sensitivity_20260723_000046\main_recheck_r1,0.2418,62
main_recheck_r2,main scenario (batch recheck) [rep 2],salience,4,plateauing,2,355300,324940,30360,0.3803,0,26,19,124237,False,0.167,1.979,1.396,1.729,1.958,2.0,0.303,,data\sensitivity_20260723_000046\main_recheck_r2,0.2325,62
main_recheck_r3,main scenario (batch recheck) [rep 3],salience,4,plateauing,1,345682,316262,29420,0.3696,0,25,4,125286,False,0.417,1.938,1.5,1.667,1.938,2.0,0.511,,data\sensitivity_20260723_000046\main_recheck_r3,0.2428,62
main_recheck_r4,main scenario (batch recheck) [rep 4],salience,4,plateauing,0,282034,258861,23173,0.2984,0,24,8,92581,False,0.083,1.979,1.542,1.521,1.958,2.0,0.33,,data\sensitivity_20260723_000046\main_recheck_r4,0.2124,62
main_recheck_r5,main scenario (batch recheck) [rep 5],salience,4,plateauing,2,396368,362906,33462,0.4228,0,27,8,136153,False,0.417,1.979,1.458,1.625,1.958,2.0,0.327,,data\sensitivity_20260723_000046\main_recheck_r5,0.2491,62
order_reversed_r4,order: reversed [rep 4],reversed,4,plateauing,2,385423,354308,31115,0.4057,0,28,9,125711,False,0.25,2.0,1.521,1.521,1.917,2.0,0.641,,data\sensitivity_20260723_000046\order_reversed_r4,0.2287,62
order_reversed_r5,order: reversed [rep 5],reversed,4,plateauing,2,431601,395386,36215,0.4595,0,29,9,151927,False,0.583,2.0,1.604,1.667,1.938,2.0,0.54,,data\sensitivity_20260723_000046\order_reversed_r5,0.2262,62
order_reversed_r6,order: reversed [rep 6],reversed,4,plateauing,2,447788,412347,35441,0.4687,0,30,1,140851,False,0.25,1.958,1.583,1.583,1.958,2.0,0.228,,data\sensitivity_20260723_000046\order_reversed_r6,0.2258,62
order_random_r4,order: random [rep 4],random,4,plateauing,2,431823,396343,35480,0.4569,0,28,1,147909,False,0.5,2.0,1.562,1.688,2.0,2.0,0.646,,data\sensitivity_20260723_000046\order_random_r4,0.2555,62
order_random_r5,order: random [rep 5],random,4,plateauing,2,468065,429735,38330,0.4948,0,29,8,161022,False,0.333,2.0,1.542,1.688,2.0,2.0,0.71,,data\sensitivity_20260723_000046\order_random_r5,0.2511,62
order_random_r6,order: random [rep 6],random,4,plateauing,2,411604,378461,33143,0.433,0,28,15,136990,False,0.583,1.979,1.458,1.625,2.0,2.0,0.504,,data\sensitivity_20260723_000046\order_random_r6,0.2463,62
main_r6,main scenario [rep 6],salience,4,plateauing,2,414961,381764,33197,0.4357,0,28,8,139127,False,0.167,1.979,1.562,1.604,1.958,2.0,0.286,,data\sensitivity_20260723_000046\main_r6,0.2407,62
main_r7,main scenario [rep 7],salience,4,plateauing,2,455492,419321,36171,0.4773,0,29,6,150236,False,0.333,1.958,1.479,1.542,1.958,2.0,0.553,,data\sensitivity_20260723_000046\main_r7,0.2309,62
main_r8,main scenario [rep 8],salience,4,plateauing,2,405834,374280,31554,0.4227,0,29,13,128152,False,0.333,1.979,1.479,1.625,2.0,2.0,0.521,,data\sensitivity_20260723_000046\main_r8,0.2245,62
main_r9,main scenario [rep 9],salience,4,plateauing,0,329548,302129,27419,0.35,0,24,13,109829,False,0.333,1.979,1.5,1.625,1.896,2.0,0.386,,data\sensitivity_20260723_000046\main_r9,0.2381,62
main_r10,main scenario [rep 10],salience,4,plateauing,2,475698,437455,38243,0.5002,0,30,12,160572,False,0.25,1.958,1.562,1.708,1.958,2.0,0.54,,data\sensitivity_20260723_000046\main_r10,0.2484,62
